BioWare Version 5.3.0.7 Export
Device:	P 9260AA6	P 9260AA6	P 9260AA6	P 9260AA6
Samples (#):	30000	30000	30000	30000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2	2	2	2
Contact period end (sample #):	29998	29998	29998	29998
Contact period start time (s):	0.002000	0.002000	0.002000	0.002000
Contact period end time (s):	29.997999	29.997999	29.997999	29.997999
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	705.564941	705.564941	705.564941	705.564941
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
File Information
Date	Dec 14, 2019  11:47:58
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay	COM sx	COM sy
	m	m	m	m
0.000000	-5.058380	-9.578082	0.000000	0.000000
0.001000	-5.058380	-9.578082	0.000000	-0.000000
0.002000	-8.680573	5.453680	0.000000	-0.000000
0.003000	-5.058380	-9.578082	0.000000	-0.000000
0.004000	-6.396028	-4.078775	0.000000	-0.000000
0.005000	-10.039357	9.826962	0.000000	-0.000000
0.006000	-15.983793	35.969654	0.000000	-0.000000
0.007000	-7.377249	-0.416215	0.000000	-0.000000
0.008000	-36.797271	127.871434	0.000000	-0.000001
0.009000	-11.565116	18.519626	0.000000	-0.000001
0.010000	-5.058380	-9.578082	0.000000	-0.000001
0.011000	-8.581699	5.935309	0.000000	-0.000001
0.012000	-5.058380	-9.578082	0.000000	-0.000001
0.013000	-12.531300	18.208310	0.000000	-0.000001
0.014000	-9.430936	9.401507	0.000001	-0.000002
0.015000	-5.058380	-9.578082	0.000001	-0.000002
0.016000	-7.183130	-1.634442	0.000001	-0.000002
0.017000	-11.810205	17.638292	0.000001	-0.000002
0.018000	-7.369349	-0.210946	0.000001	-0.000003
0.019000	-41.732464	135.940554	0.000001	-0.000003
0.020000	-7.356268	1.141444	0.000001	-0.000003
0.021000	-5.058380	-9.578082	0.000001	-0.000003
0.022000	-45.909232	142.247470	0.000001	-0.000004
0.023000	-16.283566	36.626028	0.000001	-0.000004
0.024000	-9.776323	10.152861	0.000002	-0.000005
0.025000	-44.327572	141.008606	0.000002	-0.000005
0.026000	-8.220901	2.950244	0.000002	-0.000005
0.027000	-7.696284	0.875986	0.000002	-0.000006
0.028000	-6.871676	-1.428685	0.000002	-0.000006
0.029000	-9.094043	5.876948	0.000002	-0.000007
0.030000	-6.457009	-3.666591	0.000003	-0.000007
0.031000	-7.127613	-1.334854	0.000003	-0.000008
0.032000	-5.058380	-9.578082	0.000003	-0.000008
0.033000	-6.419110	-3.444633	0.000003	-0.000009
0.034000	-11.636376	18.140234	0.000003	-0.000009
0.035000	-7.983058	2.788600	0.000003	-0.000010
0.036000	-9.926304	10.348706	0.000004	-0.000010
0.037000	-7.132238	-1.226099	0.000004	-0.000011
0.038000	-6.452778	-3.526658	0.000004	-0.000011
0.039000	-9.074674	5.608084	0.000004	-0.000012
0.040000	-6.973794	-1.539279	0.000005	-0.000013
0.041000	-6.574096	-2.984697	0.000005	-0.000013
0.042000	-8.786106	5.582352	0.000005	-0.000014
0.043000	-6.835356	-2.246188	0.000005	-0.000015
0.044000	-7.561859	1.100726	0.000006	-0.000015
0.045000	-7.497781	0.908008	0.000006	-0.000016
0.046000	-7.636831	1.037806	0.000006	-0.000017
0.047000	-6.566197	-3.519265	0.000006	-0.000018
0.048000	-6.487991	-3.528049	0.000007	-0.000018
0.049000	-8.065796	2.783153	0.000007	-0.000019
0.050000	-6.603831	-3.661347	0.000007	-0.000020
0.051000	-6.570531	-2.323286	0.000008	-0.000021
0.052000	-12.013190	18.377267	0.000008	-0.000022
0.053000	-7.374393	-0.146867	0.000008	-0.000022
0.054000	-9.956381	10.381002	0.000008	-0.000023
0.055000	-5.973649	-5.631221	0.000009	-0.000024
0.056000	-5.058380	-9.578082	0.000009	-0.000025
0.057000	-6.839492	-2.237904	0.000009	-0.000026
0.058000	-6.561664	-3.558348	0.000010	-0.000027
0.059000	-7.369529	-0.481888	0.000010	-0.000028
0.060000	-6.490036	-3.352727	0.000011	-0.000029
0.061000	-7.075126	-1.232754	0.000011	-0.000030
0.062000	-6.751145	-2.408574	0.000011	-0.000031
0.063000	-6.883149	-2.133113	0.000012	-0.000032
0.064000	-6.832279	-2.248265	0.000012	-0.000033
0.065000	-6.652584	-2.162643	0.000012	-0.000034
0.066000	-7.024642	-1.306696	0.000013	-0.000035
0.067000	-16.207735	38.249014	0.000013	-0.000036
0.068000	-7.265538	-0.273302	0.000014	-0.000037
0.069000	-6.276216	-4.386492	0.000014	-0.000038
0.070000	-7.826060	3.523469	0.000014	-0.000039
0.071000	-6.122390	-5.063828	0.000015	-0.000040
0.072000	-7.013579	-1.493888	0.000015	-0.000042
0.073000	-6.246050	-4.430439	0.000016	-0.000043
0.074000	-6.288088	-3.885756	0.000016	-0.000044
0.075000	-7.894917	3.237572	0.000017	-0.000045
0.076000	-6.921805	-1.730023	0.000017	-0.000046
0.077000	-6.150315	-4.399364	0.000018	-0.000048
0.078000	-6.356225	-3.992618	0.000018	-0.000049
0.079000	-7.024712	-0.270237	0.000019	-0.000050
0.080000	-6.743306	-2.266609	0.000019	-0.000052
0.081000	-5.921361	-5.938135	0.000020	-0.000053
0.082000	-6.599989	-2.933899	0.000020	-0.000054
0.083000	-6.903020	-0.265747	0.000021	-0.000056
0.084000	-6.290239	-3.879296	0.000021	-0.000057
0.085000	-8.674453	6.042104	0.000022	-0.000059
0.086000	-7.808562	2.922696	0.000022	-0.000060
0.087000	-9.754616	10.618560	0.000023	-0.000062
0.088000	-6.389130	-3.841044	0.000024	-0.000063
0.089000	-9.657311	10.328866	0.000024	-0.000065
0.090000	-7.120131	-1.053892	0.000025	-0.000066
0.091000	-6.864123	-1.567850	0.000025	-0.000068
0.092000	-7.826457	2.970081	0.000026	-0.000069
0.093000	-7.190523	-0.070030	0.000027	-0.000071
0.094000	-7.888140	3.385522	0.000027	-0.000073
0.095000	-10.151867	11.182735	0.000028	-0.000074
0.096000	-6.524755	-2.807641	0.000029	-0.000076
0.097000	-5.058380	-9.578082	0.000029	-0.000078
0.098000	-5.058380	-9.578082	0.000030	-0.000079
0.099000	-14.815667	37.567718	0.000031	-0.000081
0.100000	-5.058380	-9.578082	0.000031	-0.000083
0.101000	-5.058380	-9.578082	0.000032	-0.000085
0.102000	-9.394837	10.484148	0.000033	-0.000086
0.103000	-5.058380	-9.578082	0.000033	-0.000088
0.104000	-16.048232	39.039267	0.000034	-0.000090
0.105000	-5.058380	-9.578082	0.000035	-0.000092
0.106000	-5.058380	-9.578082	0.000035	-0.000094
0.107000	-5.058380	-9.578082	0.000036	-0.000096
0.108000	-5.058380	-9.578082	0.000037	-0.000098
0.109000	-13.413871	36.744131	0.000038	-0.000100
0.110000	-5.058380	-9.578082	0.000038	-0.000102
0.111000	-5.058380	-9.578082	0.000039	-0.000104
0.112000	-5.058380	-9.578082	0.000040	-0.000106
0.113000	-5.058380	-9.578082	0.000041	-0.000108
0.114000	-5.058380	-9.578082	0.000041	-0.000110
0.115000	-5.058380	-9.578082	0.000042	-0.000112
0.116000	-5.058380	-9.578082	0.000043	-0.000115
0.117000	-5.058380	-9.578082	0.000044	-0.000117
0.118000	-5.058380	-9.578082	0.000044	-0.000119
0.119000	-5.058380	-9.578082	0.000045	-0.000121
0.120000	-5.058380	-9.578082	0.000046	-0.000124
0.121000	-5.058380	-9.578082	0.000047	-0.000126
0.122000	-5.058380	-9.578082	0.000048	-0.000128
0.123000	-5.058380	-9.578082	0.000048	-0.000131
0.124000	-5.058380	-9.578082	0.000049	-0.000133
0.125000	-5.058380	-9.578082	0.000050	-0.000135
0.126000	-5.058380	-9.578082	0.000051	-0.000138
0.127000	-5.058380	-9.578082	0.000052	-0.000140
0.128000	-5.058380	-9.578082	0.000053	-0.000143
0.129000	-5.058380	-9.578082	0.000053	-0.000145
0.130000	-5.058380	-9.578082	0.000054	-0.000148
0.131000	-5.058380	-9.578082	0.000055	-0.000151
0.132000	-5.058380	-9.578082	0.000056	-0.000153
0.133000	-5.058380	-9.578082	0.000057	-0.000156
0.134000	-5.058380	-9.578082	0.000058	-0.000158
0.135000	-5.058380	-9.578082	0.000058	-0.000161
0.136000	-5.058380	-9.578082	0.000059	-0.000164
0.137000	-5.058380	-9.578082	0.000060	-0.000167
0.138000	-5.058380	-9.578082	0.000061	-0.000169
0.139000	-5.058380	-9.578082	0.000062	-0.000172
0.140000	-5.058380	-9.578082	0.000063	-0.000175
0.141000	-5.058380	-9.578082	0.000064	-0.000178
0.142000	-5.058380	-9.578082	0.000064	-0.000181
0.143000	-5.058380	-9.578082	0.000065	-0.000184
0.144000	-5.058380	-9.578082	0.000066	-0.000187
0.145000	-5.058380	-9.578082	0.000067	-0.000190
0.146000	-5.058380	-9.578082	0.000068	-0.000193
0.147000	-5.058380	-9.578082	0.000069	-0.000196
0.148000	-5.058380	-9.578082	0.000070	-0.000199
0.149000	-5.058380	-9.578082	0.000070	-0.000202
0.150000	-5.058380	-9.578082	0.000071	-0.000205
0.151000	-5.058380	-9.578082	0.000072	-0.000208
0.152000	-5.058380	-9.578082	0.000073	-0.000212
0.153000	-5.058380	-9.578082	0.000074	-0.000215
0.154000	-5.058380	-9.578082	0.000075	-0.000218
0.155000	-5.058380	-9.578082	0.000076	-0.000221
0.156000	-5.058380	-9.578082	0.000077	-0.000225
0.157000	-5.058380	-9.578082	0.000077	-0.000228
0.158000	-5.058380	-9.578082	0.000078	-0.000232
0.159000	-5.058380	-9.578082	0.000079	-0.000235
0.160000	-5.058380	-9.578082	0.000080	-0.000238
0.161000	-5.058380	-9.578082	0.000081	-0.000242
0.162000	-5.058380	-9.578082	0.000082	-0.000245
0.163000	-5.058380	-9.578082	0.000083	-0.000249
0.164000	-5.058380	-9.578082	0.000084	-0.000252
0.165000	-5.058380	-9.578082	0.000085	-0.000256
0.166000	-5.058380	-9.578082	0.000086	-0.000260
0.167000	-5.058380	-9.578082	0.000087	-0.000263
0.168000	-5.058380	-9.578082	0.000087	-0.000267
0.169000	-5.058380	-9.578082	0.000088	-0.000271
0.170000	-5.058380	-9.578082	0.000089	-0.000274
0.171000	-5.058380	-9.578082	0.000090	-0.000278
0.172000	-5.058380	-9.578082	0.000091	-0.000282
0.173000	-5.058380	-9.578082	0.000092	-0.000286
0.174000	-5.058380	-9.578082	0.000093	-0.000290
0.175000	-5.058380	-9.578082	0.000094	-0.000294
0.176000	-13.162731	37.438606	0.000095	-0.000297
0.177000	-5.058380	-9.578082	0.000096	-0.000301
0.178000	-5.058380	-9.578082	0.000097	-0.000305
0.179000	-5.058380	-9.578082	0.000098	-0.000309
0.180000	-5.058380	-9.578082	0.000099	-0.000313
0.181000	-5.058380	-9.578082	0.000100	-0.000317
0.182000	-5.058380	-9.578082	0.000101	-0.000321
0.183000	-5.058380	-9.578082	0.000103	-0.000326
0.184000	-5.058380	-9.578082	0.000104	-0.000330
0.185000	-30.224104	122.892435	0.000105	-0.000334
0.186000	-5.058380	-9.578082	0.000106	-0.000338
0.187000	-5.058380	-9.578082	0.000107	-0.000342
0.188000	-5.058380	-9.578082	0.000108	-0.000346
0.189000	-5.058380	-9.578082	0.000109	-0.000351
0.190000	-5.058380	-9.578082	0.000110	-0.000355
0.191000	-5.058380	-9.578082	0.000111	-0.000359
0.192000	-5.058380	-9.578082	0.000113	-0.000364
0.193000	-15.058444	38.406934	0.000114	-0.000368
0.194000	-5.058380	-9.578082	0.000115	-0.000373
0.195000	-5.058380	-9.578082	0.000116	-0.000377
