BioWare Version 5.3.0.7 Export
Device:	P 9260AA6	P 9260AA6	P 9260AA6	P 9260AA6
Samples (#):	30000	30000	30000	30000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	16	16	16	16
Contact period end (sample #):	29990	29990	29990	29990
Contact period start time (s):	0.016000	0.016000	0.016000	0.016000
Contact period end time (s):	29.990000	29.990000	29.990000	29.990000
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	952.554260	952.554260	952.554260	952.554260
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
File Information
Date	Dec 14, 2019  10:15:48
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay	COM sx	COM sy
	m	m	m	m
0.000000	-17.012374	1.937926	0.000000	0.000000
0.001000	-17.012374	1.937926	0.000000	-0.000000
0.002000	-17.012374	1.937926	0.000000	-0.000000
0.003000	-17.012374	1.937926	0.000000	-0.000000
0.004000	-17.012374	1.937926	0.000000	-0.000000
0.005000	-17.012374	1.937926	0.000000	-0.000000
0.006000	-17.012374	1.937926	0.000000	-0.000000
0.007000	-17.012374	1.937926	0.000000	-0.000000
0.008000	-17.012374	1.937926	0.000000	-0.000000
0.009000	-17.012374	1.937926	0.000000	-0.000000
0.010000	-17.012374	1.937926	0.000000	-0.000000
0.011000	-17.012374	1.937926	0.000000	-0.000000
0.012000	-17.012374	1.937926	0.000000	-0.000000
0.013000	-17.012374	1.937926	0.000000	-0.000000
0.014000	-17.012374	1.937926	0.000001	-0.000000
0.015000	-17.012374	1.937926	0.000001	-0.000000
0.016000	-18.151099	2.088030	0.000001	-0.000000
0.017000	-17.012374	1.937926	0.000001	-0.000000
0.018000	-17.012374	1.937926	0.000001	-0.000000
0.019000	-17.012374	1.937926	0.000001	-0.000000
0.020000	-17.012374	1.937926	0.000001	-0.000000
0.021000	-17.012374	1.937926	0.000001	-0.000000
0.022000	-17.012374	1.937926	0.000001	-0.000000
0.023000	-17.012374	1.937926	0.000002	-0.000000
0.024000	-21.477943	2.992910	0.000002	-0.000000
0.025000	-17.012374	1.937926	0.000002	-0.000000
0.026000	-17.012374	1.937926	0.000002	-0.000000
0.027000	-17.012374	1.937926	0.000002	-0.000000
0.028000	-25.486266	2.560622	0.000002	-0.000000
0.029000	-17.012374	1.937926	0.000002	-0.000000
0.030000	-17.012374	1.937926	0.000003	-0.000000
0.031000	-26.135703	1.312011	0.000003	-0.000000
0.032000	-20.975728	2.958566	0.000003	-0.000000
0.033000	-26.609085	4.445910	0.000003	-0.000000
0.034000	-17.012374	1.937926	0.000003	-0.000000
0.035000	-17.012374	1.937926	0.000004	-0.000000
0.036000	-18.093019	2.338297	0.000004	-0.000001
0.037000	-19.076411	2.273748	0.000004	-0.000001
0.038000	-17.524734	1.956651	0.000004	-0.000001
0.039000	-20.097240	2.301472	0.000004	-0.000001
0.040000	-18.755717	1.718499	0.000005	-0.000001
0.041000	-18.045760	1.877043	0.000005	-0.000001
0.042000	-17.012374	1.937926	0.000005	-0.000001
0.043000	-18.029001	1.835085	0.000005	-0.000001
0.044000	-18.399832	2.463141	0.000006	-0.000001
0.045000	-22.432729	3.830434	0.000006	-0.000001
0.046000	-17.012374	1.937926	0.000006	-0.000001
0.047000	-17.717709	1.896726	0.000007	-0.000001
0.048000	-18.391472	1.899367	0.000007	-0.000001
0.049000	-20.560939	2.475670	0.000007	-0.000001
0.050000	-21.935976	1.780605	0.000007	-0.000001
0.051000	-19.000639	1.625856	0.000008	-0.000001
0.052000	-26.498743	3.152999	0.000008	-0.000001
0.053000	-19.206777	2.012155	0.000008	-0.000002
0.054000	-18.723763	2.268125	0.000009	-0.000002
0.055000	-17.525561	2.006344	0.000009	-0.000002
0.056000	-18.081845	2.178573	0.000009	-0.000002
0.057000	-18.459252	2.251346	0.000010	-0.000002
0.058000	-18.156780	2.403384	0.000010	-0.000002
0.059000	-18.909178	2.173654	0.000011	-0.000002
0.060000	-17.999968	1.966202	0.000011	-0.000002
0.061000	-17.622367	2.072783	0.000011	-0.000002
0.062000	-17.589313	1.961528	0.000012	-0.000002
0.063000	-18.085700	1.912283	0.000012	-0.000002
0.064000	-18.039680	1.919054	0.000012	-0.000002
0.065000	-17.577364	1.988058	0.000013	-0.000002
0.066000	-18.165971	1.896320	0.000013	-0.000003
0.067000	-17.562238	1.873167	0.000014	-0.000003
0.068000	-20.578513	2.133055	0.000014	-0.000003
0.069000	-17.867659	1.959591	0.000015	-0.000003
0.070000	-19.573334	1.881877	0.000015	-0.000003
0.071000	-18.041137	1.950299	0.000016	-0.000003
0.072000	-18.330458	2.107433	0.000016	-0.000003
0.073000	-17.814234	2.024484	0.000016	-0.000003
0.074000	-18.385206	1.723279	0.000017	-0.000003
0.075000	-18.087503	2.252420	0.000017	-0.000003
0.076000	-17.739120	2.028597	0.000018	-0.000003
0.077000	-19.321211	2.718053	0.000018	-0.000003
0.078000	-17.598151	2.123788	0.000019	-0.000003
0.079000	-18.030500	2.181766	0.000020	-0.000003
0.080000	-18.458901	2.818255	0.000020	-0.000004
0.081000	-17.952266	1.863518	0.000021	-0.000004
0.082000	-31.352636	1.396755	0.000021	-0.000004
0.083000	-18.257998	2.186137	0.000022	-0.000004
0.084000	-17.955527	1.926900	0.000022	-0.000004
0.085000	-17.805866	1.947322	0.000023	-0.000004
0.086000	-17.997096	2.136710	0.000023	-0.000004
0.087000	-17.680583	1.966624	0.000024	-0.000004
0.088000	-18.148102	1.953111	0.000025	-0.000004
0.089000	-18.467810	2.030418	0.000025	-0.000004
0.090000	-17.574847	1.944249	0.000026	-0.000004
0.091000	-17.968713	2.089712	0.000026	-0.000004
0.092000	-18.329187	1.886538	0.000027	-0.000004
0.093000	-18.457845	2.074630	0.000028	-0.000004
0.094000	-17.581641	1.908183	0.000028	-0.000004
0.095000	-17.505418	2.017580	0.000029	-0.000004
0.096000	-20.693424	2.409514	0.000030	-0.000004
0.097000	-17.651440	2.002143	0.000030	-0.000004
0.098000	-18.142269	2.072844	0.000031	-0.000004
0.099000	-17.012374	1.937926	0.000032	-0.000004
0.100000	-18.602787	1.741382	0.000032	-0.000004
0.101000	-17.806857	2.097698	0.000033	-0.000004
0.102000	-18.689311	2.011752	0.000034	-0.000004
0.103000	-17.848460	1.900725	0.000034	-0.000004
0.104000	-20.107167	2.159557	0.000035	-0.000004
0.105000	-18.285608	2.116902	0.000036	-0.000004
0.106000	-18.093651	2.335647	0.000037	-0.000004
0.107000	-18.612243	2.096849	0.000037	-0.000004
0.108000	-18.544444	2.182887	0.000038	-0.000004
0.109000	-17.012374	1.937926	0.000039	-0.000004
0.110000	-17.616493	2.141629	0.000040	-0.000004
0.111000	-17.012374	1.937926	0.000040	-0.000004
0.112000	-17.012374	1.937926	0.000041	-0.000004
0.113000	-19.247913	1.921929	0.000042	-0.000004
0.114000	-19.243138	2.584839	0.000043	-0.000004
0.115000	-18.105803	2.196641	0.000043	-0.000004
0.116000	-21.261145	3.891400	0.000044	-0.000004
0.117000	-17.527777	1.905013	0.000045	-0.000004
0.118000	-18.424227	2.258528	0.000046	-0.000004
0.119000	-17.998692	2.129193	0.000047	-0.000004
0.120000	-18.193177	2.003618	0.000047	-0.000004
0.121000	-17.658153	1.884619	0.000048	-0.000003
0.122000	-17.488518	2.017432	0.000049	-0.000003
0.123000	-17.012374	1.937926	0.000050	-0.000003
0.124000	-19.809133	2.733480	0.000050	-0.000003
0.125000	-20.067835	2.449969	0.000051	-0.000003
0.126000	-17.454837	1.885117	0.000052	-0.000003
0.127000	-17.505515	2.094249	0.000053	-0.000003
0.128000	-18.395022	2.181875	0.000054	-0.000003
0.129000	-18.196326	1.916519	0.000055	-0.000003
0.130000	-17.796314	2.079539	0.000055	-0.000003
0.131000	-17.012374	1.937926	0.000056	-0.000003
0.132000	-17.012374	1.937926	0.000057	-0.000002
0.133000	-18.470763	2.286943	0.000058	-0.000002
0.134000	-18.348130	2.089240	0.000059	-0.000002
0.135000	-18.899667	2.721351	0.000059	-0.000002
0.136000	-17.012374	1.937926	0.000060	-0.000002
0.137000	-17.842154	1.914434	0.000061	-0.000002
0.138000	-17.012374	1.937926	0.000062	-0.000002
0.139000	-19.387150	2.956697	0.000063	-0.000002
0.140000	-23.000161	4.546434	0.000064	-0.000002
0.141000	-17.012374	1.937926	0.000064	-0.000001
0.142000	-17.012374	1.937926	0.000065	-0.000001
0.143000	-22.939758	5.800941	0.000066	-0.000001
0.144000	-22.506336	5.074820	0.000067	-0.000001
0.145000	-17.012374	1.937926	0.000068	-0.000001
0.146000	-17.012374	1.937926	0.000068	-0.000001
0.147000	-24.237909	2.636401	0.000069	-0.000001
0.148000	-17.012374	1.937926	0.000070	-0.000001
0.149000	-17.012374	1.937926	0.000071	-0.000000
0.150000	-18.061963	1.942514	0.000072	-0.000000
0.151000	-21.457709	4.407930	0.000073	-0.000000
0.152000	-17.832467	1.874237	0.000073	-0.000000
0.153000	-17.012374	1.937926	0.000074	0.000000
0.154000	-17.012374	1.937926	0.000075	0.000000
0.155000	-18.622824	2.159578	0.000076	0.000000
0.156000	-17.012374	1.937926	0.000077	0.000000
0.157000	-17.012374	1.937926	0.000077	0.000001
0.158000	-17.012374	1.937926	0.000078	0.000001
0.159000	-17.012374	1.937926	0.000079	0.000001
0.160000	-23.265488	3.896350	0.000080	0.000001
0.161000	-17.012374	1.937926	0.000080	0.000001
0.162000	-17.012374	1.937926	0.000081	0.000001
0.163000	-17.012374	1.937926	0.000082	0.000001
0.164000	-17.012374	1.937926	0.000083	0.000001
0.165000	-18.382249	1.775531	0.000084	0.000002
0.166000	-21.147722	0.109186	0.000084	0.000002
0.167000	-17.012374	1.937926	0.000085	0.000002
0.168000	-17.012374	1.937926	0.000086	0.000002
0.169000	-17.012374	1.937926	0.000086	0.000002
0.170000	-17.012374	1.937926	0.000087	0.000002
0.171000	-17.012374	1.937926	0.000088	0.000002
0.172000	-17.012374	1.937926	0.000089	0.000002
0.173000	-17.012374	1.937926	0.000089	0.000003
0.174000	-17.012374	1.937926	0.000090	0.000003
0.175000	-17.012374	1.937926	0.000091	0.000003
0.176000	-17.012374	1.937926	0.000092	0.000003
0.177000	-17.012374	1.937926	0.000092	0.000003
0.178000	-17.640064	2.176254	0.000093	0.000003
0.179000	-17.012374	1.937926	0.000094	0.000003
0.180000	-17.012374	1.937926	0.000094	0.000003
0.181000	-17.012374	1.937926	0.000095	0.000004
0.182000	-17.012374	1.937926	0.000096	0.000004
0.183000	-17.012374	1.937926	0.000096	0.000004
0.184000	-17.012374	1.937926	0.000097	0.000004
0.185000	-17.012374	1.937926	0.000098	0.000004
0.186000	-17.012374	1.937926	0.000098	0.000004
0.187000	-17.012374	1.937926	0.000099	0.000004
0.188000	-17.012374	1.937926	0.000099	0.000005
0.189000	-17.012374	1.937926	0.000100	0.000005
0.190000	-17.012374	1.937926	0.000101	0.000005
0.191000	-17.012374	1.937926	0.000101	0.000005
0.192000	-17.012374	1.937926	0.000102	0.000005
0.193000	-17.012374	1.937926	0.000103	0.000005
0.194000	-17.012374	1.937926	0.000103	0.000005
0.195000	-17.012374	1.937926	0.000104	0.000006
0.196000	-20.114787	2.642794	0.000104	0.000006
0.197000	-17.012374	1.937926	0.000105	0.000006
0.198000	-17.012374	1.937926	0.000105	0.000006
0.199000	-17.012374	1.937926	0.000106	0.000006
0.200000	-19.169893	-0.451854	0.000107	0.000006
0.201000	-17.012374	1.937926	0.000107	0.000006
0.202000	-17.012374	1.937926	0.000108	0.000007
0.203000	-17.012374	1.937926	0.000108	0.000007
