BioWare Version 5.4.8.0 Export
Device:	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA	Integrated Amp Plate 1 9281CA
Samples (#):	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000
Rate (Hz):	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000	100.000000
Contact period start (sample #):	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Contact period end (sample #):	2999	2999	2999	2999	2999	2999	2999	2999	2999	2999	2999	2999	2999	2999	2999	2999	2999	2999
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	29.990000	29.990000	29.990000	29.990000	29.990000	29.990000	29.990000	29.990000	29.990000	29.990000	29.990000	29.990000	29.990000	29.990000	29.990000	29.990000	29.990000	29.990000
First sample time (s):	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
Normalized force (N):	802.903748	802.903748	802.903748	802.903748	802.903748	802.903748	802.903748	802.903748	802.903748	802.903748	802.903748	802.903748	802.903748	802.903748	802.903748	802.903748	802.903748	802.903748
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	|Ft|	Fx12	Fx34	Fy14	Fy23	Fz1	Fz2	Fz3	Fz4	Mx	My	Mz	Tz	Ax	Ay
	N	N	N	N	N	N	N	N	N	N	N	N	N m	N m	N m	N m	m	m
0.000000	3.090575	-4.212291	746.085124	746.103415	-2.283341	5.373916	-7.940146	3.727856	301.187469	-6.999959	321.799164	130.098450	-31.352469	-13.839331	0.131291	0.079552	0.018549	-0.042023
0.010000	2.960812	-3.909434	745.001604	745.017744	-2.331554	5.292367	-7.828413	3.918979	301.187469	-6.679228	321.179840	129.313522	-31.021101	-13.786810	0.115097	0.064159	0.018506	-0.041639
0.020000	2.733905	-3.558622	745.304182	745.317692	-2.427981	5.161887	-7.636870	4.078248	301.824585	-6.839594	322.418518	127.900673	-30.906703	-13.574535	0.112159	0.063603	0.018213	-0.041469
0.030000	2.523309	-3.415105	745.608180	745.620270	-2.524409	5.047717	-7.557061	4.141956	301.665314	-6.999959	322.728180	128.214645	-31.101816	-13.584660	0.110543	0.067509	0.018220	-0.041713
0.040000	2.377951	-3.255765	747.030649	747.041528	-2.620836	4.998787	-7.525137	4.269372	302.461700	-6.679228	323.347504	127.900673	-30.946633	-13.536285	0.108583	0.069069	0.018120	-0.041426
0.050000	2.183426	-3.032579	746.244642	746.253998	-2.701192	4.884617	-7.429366	4.396787	302.620972	-6.839594	323.347504	127.115761	-30.799913	-13.489205	0.098024	0.062724	0.018076	-0.041273
0.060000	2.117947	-2.889166	747.350858	747.359443	-2.685120	4.803068	-7.397441	4.508275	303.258087	-6.518863	323.966827	126.644806	-30.644471	-13.399284	0.068952	0.033907	0.017929	-0.041004
0.070000	2.020565	-2.713830	747.028165	747.035827	-2.717263	4.737828	-7.333594	4.619763	303.098816	-6.518863	324.431335	126.016876	-30.651531	-13.253462	0.056615	0.021856	0.017742	-0.041031
0.080000	2.100921	-2.602167	746.248598	746.256092	-2.636907	4.737828	-7.253784	4.651618	303.258087	-6.679228	323.966827	125.702911	-30.501080	-13.306267	0.046299	0.006828	0.017831	-0.040873
0.090000	2.085327	-2.522462	746.876527	746.883698	-2.685120	4.770448	-7.221860	4.699398	303.258087	-6.679228	323.966827	126.330841	-30.630253	-13.382320	0.060563	0.020238	0.017918	-0.041011
0.100000	2.052946	-2.570383	746.097432	746.104684	-2.701192	4.754138	-7.285708	4.715325	303.576630	-6.518863	324.121674	124.917992	-30.280714	-13.214635	0.050942	0.013148	0.017712	-0.040585
0.110000	2.182710	-2.538494	745.617552	745.625068	-2.652978	4.835688	-7.269746	4.731252	303.576630	-6.839594	324.276489	124.604027	-30.314465	-13.191030	0.057613	0.013781	0.017691	-0.040657
0.120000	2.101637	-2.331199	746.388658	746.395257	-2.685120	4.786757	-7.158013	4.826814	303.576630	-6.679228	325.515167	123.976089	-30.413869	-12.951441	0.056196	0.011010	0.017352	-0.040748
